sample	strainID	genus	species	count	count_norm
HAMBI0206	HAMBI_2659	NA	NA	15319	18572
HAMBI0206	HAMBI_2792	NA	NA	0	0
HAMBI0206	HAMBI_3031	NA	NA	0	0
HAMBI0206	HAMBI_3237	NA	NA	0	0
HAMBI0207	HAMBI_0006	NA	NA	5	3
HAMBI0207	HAMBI_0097	NA	NA	0	0
HAMBI0207	HAMBI_0105	NA	NA	430	521
HAMBI0207	HAMBI_0262	NA	NA	0	0
HAMBI0207	HAMBI_0403	NA	NA	278	149
HAMBI0207	HAMBI_1279	NA	NA	29	20
HAMBI0207	HAMBI_1287	NA	NA	3693	2559
HAMBI0207	HAMBI_1292	NA	NA	2388	1655
HAMBI0207	HAMBI_1299	NA	NA	10	6
HAMBI0207	HAMBI_1842	NA	NA	0	0
HAMBI0207	HAMBI_1896	NA	NA	45	54
HAMBI0207	HAMBI_1923	NA	NA	3571	2887
HAMBI0207	HAMBI_1972	NA	NA	375	181
HAMBI0207	HAMBI_1977	NA	NA	2593	2516
HAMBI0207	HAMBI_1988	NA	NA	0	0
HAMBI0207	HAMBI_2159	NA	NA	14	16
HAMBI0207	HAMBI_2160	NA	NA	37	59
HAMBI0207	HAMBI_2164	NA	NA	50	48
HAMBI0207	HAMBI_2443	NA	NA	0	0
HAMBI0207	HAMBI_2494	NA	NA	136	164
HAMBI0207	HAMBI_2659	NA	NA	13180	15987
HAMBI0207	HAMBI_2792	NA	NA	0	0
HAMBI0207	HAMBI_3031	NA	NA	0	0
HAMBI0207	HAMBI_3237	NA	NA	0	0
HAMBI0208	HAMBI_0006	NA	NA	21	14
HAMBI0208	HAMBI_0097	NA	NA	0	0
HAMBI0208	HAMBI_0105	NA	NA	306	369
HAMBI0208	HAMBI_0262	NA	NA	0	0
HAMBI0208	HAMBI_0403	NA	NA	190	102
HAMBI0208	HAMBI_1279	NA	NA	10	6
HAMBI0208	HAMBI_1287	NA	NA	4914	3391
HAMBI0208	HAMBI_1292	NA	NA	2073	1430
HAMBI0208	HAMBI_1299	NA	NA	0	0
HAMBI0208	HAMBI_1842	NA	NA	0	0
HAMBI0208	HAMBI_1896	NA	NA	125	150
HAMBI0208	HAMBI_1923	NA	NA	1702	1370
HAMBI0208	HAMBI_1972	NA	NA	90	43
HAMBI0208	HAMBI_1977	NA	NA	1059	1023
HAMBI0208	HAMBI_1988	NA	NA	0	0
HAMBI0208	HAMBI_2159	NA	NA	2	2
HAMBI0208	HAMBI_2160	NA	NA	66	106
HAMBI0208	HAMBI_2164	NA	NA	0	0
HAMBI0208	HAMBI_2443	NA	NA	0	0
HAMBI0208	HAMBI_2494	NA	NA	175	211
HAMBI0208	HAMBI_2659	NA	NA	12062	14570
HAMBI0208	HAMBI_2792	NA	NA	0	0
HAMBI0208	HAMBI_3031	NA	NA	0	0
HAMBI0208	HAMBI_3237	NA	NA	0	0
HAMBI0209	HAMBI_0006	NA	NA	1	0
HAMBI0209	HAMBI_0097	NA	NA	0	0
HAMBI0209	HAMBI_0105	NA	NA	234	286
HAMBI0209	HAMBI_0262	NA	NA	0	0
HAMBI0209	HAMBI_0403	NA	NA	54	29
HAMBI0209	HAMBI_1279	NA	NA	10	6
HAMBI0209	HAMBI_1287	NA	NA	3698	2585
HAMBI0209	HAMBI_1292	NA	NA	1038	725
HAMBI0209	HAMBI_1299	NA	NA	1	0
HAMBI0209	HAMBI_1842	NA	NA	0	0
HAMBI0209	HAMBI_1896	NA	NA	234	286
HAMBI0209	HAMBI_1923	NA	NA	1229	1002
HAMBI0209	HAMBI_1972	NA	NA	55	26
HAMBI0209	HAMBI_1977	NA	NA	553	541
HAMBI0209	HAMBI_1988	NA	NA	0	0
HAMBI0209	HAMBI_2159	NA	NA	4	4
HAMBI0209	HAMBI_2160	NA	NA	23	37
HAMBI0209	HAMBI_2164	NA	NA	0	0
HAMBI0209	HAMBI_2443	NA	NA	0	0
HAMBI0209	HAMBI_2494	NA	NA	102	124
HAMBI0209	HAMBI_2659	NA	NA	7052	8628
HAMBI0209	HAMBI_2792	NA	NA	0	0
HAMBI0209	HAMBI_3031	NA	NA	0	0
HAMBI0209	HAMBI_3237	NA	NA	0	0
HAMBI0210	HAMBI_0006	NA	NA	2	1
HAMBI0210	HAMBI_0097	NA	NA	0	0
HAMBI0210	HAMBI_0105	NA	NA	386	464
HAMBI0210	HAMBI_0262	NA	NA	0	0
HAMBI0210	HAMBI_0403	NA	NA	138	73
HAMBI0210	HAMBI_1279	NA	NA	27	18
HAMBI0210	HAMBI_1287	NA	NA	4223	2905
HAMBI0210	HAMBI_1292	NA	NA	1123	772
HAMBI0210	HAMBI_1299	NA	NA	4	2
HAMBI0210	HAMBI_1842	NA	NA	0	0
HAMBI0210	HAMBI_1896	NA	NA	74	89
HAMBI0210	HAMBI_1923	NA	NA	1791	1437
HAMBI0210	HAMBI_1972	NA	NA	258	124
HAMBI0210	HAMBI_1977	NA	NA	1360	1310
HAMBI0210	HAMBI_1988	NA	NA	0	0
HAMBI0210	HAMBI_2159	NA	NA	5	6
HAMBI0210	HAMBI_2160	NA	NA	28	44
HAMBI0210	HAMBI_2164	NA	NA	0	0
HAMBI0210	HAMBI_2443	NA	NA	0	0
HAMBI0210	HAMBI_2494	NA	NA	123	148
HAMBI0210	HAMBI_2659	NA	NA	10492	12634
HAMBI0210	HAMBI_2792	NA	NA	0	0
HAMBI0210	HAMBI_3031	NA	NA	0	0
HAMBI0210	HAMBI_3237	NA	NA	0	0
HAMBI0211	HAMBI_0006	NA	NA	1	0
HAMBI0211	HAMBI_0097	NA	NA	0	0
HAMBI0211	HAMBI_0105	NA	NA	312	530
HAMBI0211	HAMBI_0262	NA	NA	0	0
HAMBI0211	HAMBI_0403	NA	NA	537	405
HAMBI0211	HAMBI_1279	NA	NA	92	89
HAMBI0211	HAMBI_1287	NA	NA	2330	2263
HAMBI0211	HAMBI_1292	NA	NA	848	823
HAMBI0211	HAMBI_1299	NA	NA	23	19
HAMBI0211	HAMBI_1842	NA	NA	0	0
HAMBI0211	HAMBI_1896	NA	NA	2	3
HAMBI0211	HAMBI_1923	NA	NA	2258	2559
HAMBI0211	HAMBI_1972	NA	NA	12203	8299
HAMBI0211	HAMBI_1977	NA	NA	755	1026
HAMBI0211	HAMBI_1988	NA	NA	0	0
HAMBI0211	HAMBI_2159	NA	NA	0	0
HAMBI0211	HAMBI_2160	NA	NA	11	24
HAMBI0211	HAMBI_2164	NA	NA	0	0
HAMBI0211	HAMBI_2443	NA	NA	0	0
HAMBI0211	HAMBI_2494	NA	NA	2	3
HAMBI0211	HAMBI_2659	NA	NA	4745	8067
HAMBI0211	HAMBI_2792	NA	NA	0	0
HAMBI0211	HAMBI_3031	NA	NA	0	0
HAMBI0211	HAMBI_3237	NA	NA	0	0
HAMBI0212	HAMBI_0006	NA	NA	73	70
HAMBI0212	HAMBI_0097	NA	NA	0	0
HAMBI0212	HAMBI_0105	NA	NA	399	674
HAMBI0212	HAMBI_0262	NA	NA	1	2
HAMBI0212	HAMBI_0403	NA	NA	1231	925
HAMBI0212	HAMBI_1279	NA	NA	57	55
HAMBI0212	HAMBI_1287	NA	NA	3492	3374
HAMBI0212	HAMBI_1292	NA	NA	755	729
HAMBI0212	HAMBI_1299	NA	NA	20	16
HAMBI0212	HAMBI_1842	NA	NA	0	0
HAMBI0212	HAMBI_1896	NA	NA	0	0
HAMBI0212	HAMBI_1923	NA	NA	3432	3869
HAMBI0212	HAMBI_1972	NA	NA	10148	6865
HAMBI0212	HAMBI_1977	NA	NA	623	842
HAMBI0212	HAMBI_1988	NA	NA	0	0
HAMBI0212	HAMBI_2159	NA	NA	2	3
HAMBI0212	HAMBI_2160	NA	NA	12	27
HAMBI0212	HAMBI_2164	NA	NA	0	0
HAMBI0212	HAMBI_2443	NA	NA	0	0
HAMBI0212	HAMBI_2494	NA	NA	8	13
HAMBI0212	HAMBI_2659	NA	NA	4024	6805
HAMBI0212	HAMBI_2792	NA	NA	0	0
HAMBI0212	HAMBI_3031	NA	NA	0	0
HAMBI0212	HAMBI_3237	NA	NA	0	0
HAMBI0213	HAMBI_0006	NA	NA	93	77
HAMBI0213	HAMBI_0097	NA	NA	0	0
HAMBI0213	HAMBI_0105	NA	NA	631	923
HAMBI0213	HAMBI_0262	NA	NA	0	0
HAMBI0213	HAMBI_0403	NA	NA	1547	1005
HAMBI0213	HAMBI_1279	NA	NA	32	26
HAMBI0213	HAMBI_1287	NA	NA	2067	1728
HAMBI0213	HAMBI_1292	NA	NA	3440	2876
HAMBI0213	HAMBI_1299	NA	NA	9	6
HAMBI0213	HAMBI_1842	NA	NA	0	0
HAMBI0213	HAMBI_1896	NA	NA	1	1
HAMBI0213	HAMBI_1923	NA	NA	3125	3048
HAMBI0213	HAMBI_1972	NA	NA	4101	2400
HAMBI0213	HAMBI_1977	NA	NA	2173	2543
HAMBI0213	HAMBI_1988	NA	NA	0	0
HAMBI0213	HAMBI_2159	NA	NA	0	0
HAMBI0213	HAMBI_2160	NA	NA	14	27
HAMBI0213	HAMBI_2164	NA	NA	0	0
HAMBI0213	HAMBI_2443	NA	NA	0	0
HAMBI0213	HAMBI_2494	NA	NA	30	43
HAMBI0213	HAMBI_2659	NA	NA	5516	8070
HAMBI0213	HAMBI_2792	NA	NA	0	0
HAMBI0213	HAMBI_3031	NA	NA	0	0
HAMBI0213	HAMBI_3237	NA	NA	0	0
HAMBI0214	HAMBI_0006	NA	NA	4	3
HAMBI0214	HAMBI_0097	NA	NA	1	0
HAMBI0214	HAMBI_0105	NA	NA	715	1155
HAMBI0214	HAMBI_0262	NA	NA	0	0
HAMBI0214	HAMBI_0403	NA	NA	1392	999
